0,0
1,4
2,347
3,313
4,5
5,9
6,5
7,2
8,2
9,19
10,341
11,1
12,353
13,352
14,0
15,5
16,16
17,17
18,359
19,324
20,22
21,21
22,17
23,18
24,17
25,31
26,348
27,16
28,4
29,9
30,12
31,19
32,13
33,23
34,359
35,329
36,22
37,25
38,18
39,11
40,16
41,27
42,349
43,10
44,1
45,7
46,7
47,19
48,12
49,19
50,359
51,323
52,21
53,19
54,13
55,11
56,13
57,27
58,345
59,9
60,0
61,6
62,7
63,18
64,5
65,16
66,353
67,320
68,14
69,11
70,4
71,1
72,4
73,18
74,338
75,359
76,355
77,355
78,359
79,9
80,14
81,20
82,356
83,325
84,20
85,19
86,12
87,7
88,12
89,28
90,350
91,12
92,5
93,3
94,7
95,20
96,22
97,32
98,8
99,335
100,31
101,27
102,24
103,21
104,25
105,38
106,359
107,22
108,16
109,14
110,20
111,33
112,14
113,21
114,359
115,326
116,19
117,16
118,16
119,10
120,14
121,27
122,349
123,12
124,7
125,6
126,12
127,23
128,19
129,26
130,6
131,332
132,25
133,24
134,17
135,16
136,20
137,33
138,352
139,14
140,7
141,12
142,17
143,21
144,22
145,29
146,8
147,336
148,31
149,28
150,24
151,25
152,26
153,36
154,0
155,20
156,15
157,19
158,22
159,29
160,4
161,15
162,355
163,322
164,13
165,13
166,8
167,5
168,8
169,21
170,341
171,3
172,0
173,2
174,2
175,13
176,20
177,36
178,13
179,340
180,33
181,31
182,27
183,25
184,28
185,38
186,1
187,22
188,16
189,23
190,23
191,31
192,13
193,26
194,4
195,326
196,20
197,20
198,15
199,17
200,16
201,31
202,352
203,15
204,6
205,12
206,13
207,18
208,9
209,26
210,5
211,328
212,19
213,21
214,14
215,17
216,14
217,25
218,350
219,13
220,0
221,8
222,12
223,18
224,9
225,23
226,2
227,324
228,18
229,16
230,13
231,14
232,15
233,27
234,352
235,15
236,3
237,10
238,15
239,17
240,25
241,39
242,17
243,338
244,33
245,34
246,28
247,26
248,26
249,40
250,2
251,25
252,12
253,22
254,23
255,31
256,2
257,15
258,356
259,324
260,9
261,11
262,6
263,7
264,2
265,22
266,347
267,1
268,351
269,0
270,7
271,6
272,23
273,36
274,16
275,345
276,30
277,32
278,29
279,28
280,23
281,43
282,5
283,24
284,14
285,22
286,27
287,28
288,20
289,33
290,16
291,343
292,28
293,31
294,29
295,28
296,25
297,42
298,8
299,24
300,9
301,24
302,32
303,32
304,13
305,28
306,7
307,338
308,25
309,24
310,20
311,24
312,15
313,34
314,358
315,11
316,1
317,14
318,20
319,22
320,12
321,20
322,7
323,335
324,18
325,17
326,13
327,18
328,15
329,31
330,358
331,14
332,1
333,13
334,19
335,21
336,6
337,19
338,0
339,330
340,17
341,14
342,13
343,13
344,5
345,27
346,348
347,2
348,356
349,2
350,9
351,12
352,9
353,21
354,5
355,333
356,17
357,18
358,14
359,14
360,11
361,29
362,354
363,5
364,355
365,8
366,16
367,15
368,10
369,28
370,11
371,338
372,25
373,21
374,19
375,20
376,14
377,36
378,2
379,14
380,2
381,15
382,21
383,23
384,8
385,26
386,1
387,329
388,16
389,18
390,14
391,21
392,7
393,29
394,357
395,6
396,356
397,8
398,19
399,17
400,3
401,19
402,358
403,326
404,10
405,8
406,7
407,16
408,1
409,20
410,352
411,3
412,356
413,2
414,13
415,13
416,8
417,22
418,0
419,336
420,17
421,16
422,17
423,21
424,4
425,25
426,354
427,4
428,355
429,5
430,18
431,18
432,9
433,31
434,4
435,340
436,21
437,17
438,17
439,22
440,12
441,31
442,359
443,13
444,0
445,12
446,21
447,17
448,0
449,16
450,351
451,329
452,9
453,8
454,7
455,9
456,359
457,15
458,348
459,359
460,349
461,358
462,6
463,2
464,9
465,25
466,4
467,338
468,21
469,17
470,17
471,20
472,13
473,30
474,4
475,13
476,0
477,9
478,20
479,19
480,7
481,21
482,359
483,334
484,16
485,16
486,19
487,20
488,9
489,28
490,359
491,10
492,0
493,6
494,18
495,18
496,13
497,28
498,3
499,338
500,20
501,20
502,18
503,18
504,9
505,28
506,358
507,8
508,0
509,4
510,19
511,13
512,4
513,24
514,24
515,333
516,12
517,9
518,17
519,0
520,15
521,10
522,7
523,0
524,354
525,23
526,9
527,30
528,11
529,28
530,26
531,338
532,20
533,16
534,23
535,8
536,20
537,13
538,8
539,2
540,0
541,28
542,14
543,35
544,9
545,23
546,23
547,337
548,14
549,16
550,22
551,4
552,17
553,12
554,9
555,358
556,357
557,26
558,12
559,33
560,13
561,28
562,28
563,340
564,18
565,17
566,26
567,8
568,19
569,18
570,9
571,4
572,0
573,32
574,16
575,34
576,8
577,28
578,22
579,333
580,9
581,9
582,19
583,2
584,17
585,8
586,7
587,358
588,359
589,24
590,14
591,30
592,2
593,18
594,18
595,328
596,11
597,12
598,20
599,0
600,12
601,9
602,2
603,356
604,351
605,22
606,8
607,26
